interval_index,node_index,fraction,z_mid,group,raw_component_sum_kappa_cMpc_inv,authoritative_total_kappa_cMpc_inv,raw_sum_vs_authoritative_relative_residual,conditioned_kappa_sum_relative_residual,conditioned_current_sum_relative_residual,minimum_component_kappa_cMpc_inv,minimum_component_current_s-1_cMpc-3,exact_zero_G3_current
0,16,1.0,5.95,G3,1.9198766908780602,1.9198766908780656,2.775735829035704e-15,0.0,0.0,0.0,0.0,True
1,0,0.0,5.85,G1,0.042806142492180975,0.0428145642480502,0.00019670306161311506,0.0,0.0,0.0,0.0,True
1,0,0.0,5.85,G2a,0.020803311357393228,0.0207790043824025,0.0011697853536868233,0.0,0.0,0.0,0.0,True
1,0,0.0,5.85,G2b,0.0009073002515798389,0.0009073002515798,4.289964421861093e-14,0.0,1.957506109726319e-16,0.0,0.0,True
1,0,0.0,5.85,G3,1.8650259102060094,1.8650259102060145,2.738313653085703e-15,0.0,0.0,0.0,0.0,True
1,1,0.0096073597983847,5.85,G1,0.043061545785987365,0.0430694353903767,0.00018318337163753613,0.0,0.0,0.0,0.0,True
1,1,0.0096073597983847,5.85,G2a,0.020921681327293794,0.0208988896345794,0.0010905695523977848,0.0,0.0,0.0,0.0,True
1,1,0.0096073597983847,5.85,G2b,0.0008876961902054612,0.0008876961902061,7.19628998159994e-13,0.0,0.0,0.0,0.0,True
1,1,0.0096073597983847,5.85,G3,1.8650252071026714,1.8650252071026767,2.857371845648929e-15,0.0,0.0,0.0,0.0,True
1,2,0.0380602337443566,5.85,G1,0.04382628019020346,0.0438326108944032,0.00014442909218869652,0.0,1.1556881153079653e-16,0.0,0.0,True
1,2,0.0380602337443566,5.85,G2a,0.021336340793294304,0.0213179577045808,0.0008623287919159078,0.0,0.0,0.0,0.0,True
1,2,0.0380602337443566,5.85,G2b,0.0008832649051388108,0.0008832649051388,1.2274937747188408e-14,0.0,0.0,0.0,0.0,True
1,2,0.0380602337443566,5.85,G3,1.8650323954687427,1.865032395468748,2.8573608325239678e-15,0.0,0.0,0.0,0.0,True
1,3,0.0842651938487273,5.85,G1,0.04508972931337006,0.045093670204506,8.739344387059826e-05,0.0,0.0,0.0,0.0,True
1,3,0.0842651938487273,5.85,G2a,0.022030720296312933,0.0220190382709091,0.0005305420364007543,0.0,1.680680817546111e-16,0.0,0.0,True
1,3,0.0842651938487273,5.85,G2b,0.0008924019911300361,0.0008924019911293,8.249345949867939e-13,1.2149257658126568e-16,1.9136156613393707e-16,0.0,0.0,True
1,3,0.0842651938487273,5.85,G3,1.865047034187716,1.8650470341877208,2.619226871389993e-15,0.0,0.0,0.0,0.0,True
1,4,0.1464466094067262,5.85,G1,0.04681055369024068,0.0468118945763643,2.864413277343405e-05,0.0,0.0,0.0,0.0,True
1,4,0.1464466094067262,5.85,G2a,0.022954789943705565,0.0229504377231801,0.0001896356216800739,0.0,1.6203767478412665e-16,0.0,0.0,True
1,4,0.1464466094067262,5.85,G2b,0.0009067356807285342,0.0009067356807278,8.097417216645248e-13,0.0,0.0,0.0,0.0,True
1,4,0.1464466094067262,5.85,G3,1.8650670844467918,1.8650670844467965,2.5001442266130317e-15,0.0,0.0,0.0,0.0,True
1,5,0.2222148834901988,5.85,G1,0.04887978865770126,0.0488797786758746,2.0421178111363715e-07,0.0,0.0,0.0,0.0,True
1,5,0.2222148834901988,5.85,G2a,0.02401186753301371,0.024011827050848,1.6859260906790905e-06,0.0,0.0,0.0,0.0,True
