interval_index,z_mid,group,component,partition_lane,macro_index,macro_owner_current_s-1_cMpc-3
0,5.95,G2a,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,9,5.159594314511153e+47
0,5.95,G2a,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,10,5.176785871560161e+46
0,5.95,G2a,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,11,1.3436859533829133e+45
0,5.95,G2a,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,12,2.916026836978635e+47
0,5.95,G2a,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,13,5.5858092807794256e+47
0,5.95,G2a,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,14,3.1458400860919612e+47
0,5.95,G2a,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,15,1.5656187029704414e+47
0,5.95,G2a,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,16,1.5708352804004633e+46
0,5.95,G2a,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,17,4.0772582712918005e+44
0,5.95,G2a,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,0,0.0
0,5.95,G2a,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,1,0.0
0,5.95,G2a,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,2,0.0
0,5.95,G2a,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,3,0.0
0,5.95,G2a,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,4,0.0
0,5.95,G2a,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,5,0.0
0,5.95,G2a,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,6,0.0
0,5.95,G2a,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,7,0.0
0,5.95,G2a,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,8,0.0
0,5.95,G2a,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,9,0.0
0,5.95,G2a,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,10,0.0
0,5.95,G2a,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,11,0.0
0,5.95,G2a,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,12,0.0
0,5.95,G2a,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,13,0.0
0,5.95,G2a,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,14,0.0
0,5.95,G2a,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,15,0.0
0,5.95,G2a,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,16,0.0
0,5.95,G2a,EXPLICIT_HEII_ATOMIC,STATE_DERIVED,17,0.0
0,5.95,G2b,EFFECTIVE_HI_SUBGRID,STRUCTURAL_ZERO,0,0.0
0,5.95,G2b,EFFECTIVE_HI_SUBGRID,STRUCTURAL_ZERO,1,0.0
0,5.95,G2b,EFFECTIVE_HI_SUBGRID,STRUCTURAL_ZERO,2,0.0
0,5.95,G2b,EFFECTIVE_HI_SUBGRID,STRUCTURAL_ZERO,3,0.0
0,5.95,G2b,EFFECTIVE_HI_SUBGRID,STRUCTURAL_ZERO,4,0.0
0,5.95,G2b,EFFECTIVE_HI_SUBGRID,STRUCTURAL_ZERO,5,0.0
0,5.95,G2b,EFFECTIVE_HI_SUBGRID,STRUCTURAL_ZERO,6,0.0
0,5.95,G2b,EFFECTIVE_HI_SUBGRID,STRUCTURAL_ZERO,7,0.0
0,5.95,G2b,EFFECTIVE_HI_SUBGRID,STRUCTURAL_ZERO,8,0.0
0,5.95,G2b,EFFECTIVE_HI_SUBGRID,STRUCTURAL_ZERO,9,0.0
0,5.95,G2b,EFFECTIVE_HI_SUBGRID,STRUCTURAL_ZERO,10,0.0
0,5.95,G2b,EFFECTIVE_HI_SUBGRID,STRUCTURAL_ZERO,11,0.0
0,5.95,G2b,EFFECTIVE_HI_SUBGRID,STRUCTURAL_ZERO,12,0.0
0,5.95,G2b,EFFECTIVE_HI_SUBGRID,STRUCTURAL_ZERO,13,0.0
0,5.95,G2b,EFFECTIVE_HI_SUBGRID,STRUCTURAL_ZERO,14,0.0
0,5.95,G2b,EFFECTIVE_HI_SUBGRID,STRUCTURAL_ZERO,15,0.0
0,5.95,G2b,EFFECTIVE_HI_SUBGRID,STRUCTURAL_ZERO,16,0.0
0,5.95,G2b,EFFECTIVE_HI_SUBGRID,STRUCTURAL_ZERO,17,0.0
0,5.95,G2b,EXPLICIT_HI_ATOMIC,STATE_DERIVED,0,2.497207655378788e+46
0,5.95,G2b,EXPLICIT_HI_ATOMIC,STATE_DERIVED,1,4.783538176178484e+46
