shape_lane,interval_index,substep,macro_index,z_mid,dt_Myr,model,refinement,combined_error,cone_pass,error_M,error_I,error_U,error_C,error_J_G1,error_J_G2a,minimum_M,minimum_I,minimum_neutral,minimum_U,minimum_C,minimum_J_G1,minimum_J_G2a,minimum_cycling
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,14,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,8,1.51351039310289509e-05,True,1.24839747214208045e-08,4.25219062916012175e-06,1.51351039310289509e-05,1.09024721994147323e-08,4.57418149937355126e-07,2.07065175142685037e-07,1.75121310285721459e-144,1.75030819652818323e-144,8.98877775500326211e-148,1.37111602190271915e-155,2.96892923665555954e-161,7.72318431839635327e-163,2.33560097767591515e-163,2.86817245270259260e-161
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,15,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,2,5.28698259583856213e-05,False,4.99303209750204533e-08,1.63788837110378572e-05,5.28698259583856213e-05,2.75674109633117994e-06,1.10882894761350528e-06,4.77847170931981364e-07,1.05105853354483020e-144,1.05051219273656585e-144,5.46340808264358054e-148,8.22917195280569103e-156,1.78176035634995667e-161,4.67722910263048295e-163,1.30710297001838398e-163,-2.23655385450454690e+41
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,15,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,4,2.88009750047447220e-05,True,2.49670200283350132e-08,8.39637730169833326e-06,2.88009750047447220e-05,2.21160269832757662e-07,5.54980743876494241e-07,2.39028314196268455e-07,1.05094108166347663e-144,1.05039926548600543e-144,5.41807843247154235e-148,8.22841070319683043e-156,1.78169060860826717e-161,4.67722223305933928e-163,1.30710214582896859e-163,1.72176123750265614e-161
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,15,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,8,1.50915159695929180e-05,True,1.24839748900410628e-08,4.25219062914666833e-06,1.50915159695929180e-05,1.09687729930530387e-08,2.77632183728238756e-07,1.19540358849428329e-07,1.05088234587864184e-144,1.05033932225444598e-144,5.39405960265144977e-148,8.22790428345510154e-156,1.78160026191591705e-161,4.67721879300906469e-163,1.30710173346325603e-163,1.72165650728318832e-161
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,0,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,2,1.02362981189060864e-03,True,2.97160244988035102e-05,3.93970785781541720e-04,1.02362981189060864e-03,6.90732676962489103e-05,1.84150130549245571e-04,9.36921392276545621e-05,1.29723362274804491e-143,1.29657387554570830e-143,6.59747202336617101e-147,1.01567267872137829e-154,3.59629040244200934e-160,6.90664621965417903e-162,1.90842139982921355e-162,3.50813972624717544e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,0,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,4,5.47447035109962414e-04,True,1.48850285479742879e-05,2.01881907337468912e-04,5.47447035109962414e-04,7.89842864270675410e-06,9.31450162704184199e-05,4.71363783124637302e-05,1.29368165024694781e-143,1.29314754070249463e-143,5.33934646250595090e-147,1.01323557935824110e-154,3.59230418603949266e-160,6.89106133338541092e-162,1.90435121673530779e-162,3.50435006053828555e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,0,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,8,2.83769663762960191e-04,True,7.44928911254707770e-06,1.02217851921723583e-04,2.83769663762960191e-04,1.59312041959764813e-06,4.68453069086414008e-05,2.36415303200448525e-05,1.29189835979206003e-143,1.29133066849425796e-143,4.67048113525752335e-147,1.01176095852469636e-154,3.58782701606302543e-160,6.88305790493101559e-162,1.90228722678130452e-162,3.49997356474590180e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,6,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,2,1.09591400543190072e-03,True,2.97664654442489040e-05,4.00622189364218425e-04,1.09591400543190072e-03,6.81669221258387515e-05,2.18314400146626931e-04,1.01367073019078638e-04,1.52453992742761253e-143,1.52376521734972947e-143,7.74710077883062520e-147,1.19367802059041457e-154,3.67864131421537024e-160,7.73251921498976158e-162,2.09241585494638529e-162,3.58039196351600906e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,6,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,4,5.88995780361607291e-04,True,1.49103178520328744e-05,2.05372858841644962e-04,5.88995780361607291e-04,7.36259925287851956e-06,1.10665494473838975e-04,5.10235939906592874e-05,1.52036200686990291e-143,1.51973770550272349e-143,6.24018084196580992e-147,1.19084398698855243e-154,3.67481712337441984e-160,7.71548271008891281e-162,2.08805270052793724e-162,3.57678176926825095e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,6,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,8,3.06177880773544572e-04,True,7.46195104362257541e-06,1.04007352091960441e-04,3.06177880773544572e-04,1.38600787122293146e-06,5.57187448651376728e-05,2.55977807972869524e-05,1.51826444786775267e-143,1.51759984552640239e-143,5.43859215161971970e-147,1.18909380079050991e-154,3.67033791322084049e-160,7.70668828988264320e-162,2.08583753169851388e-162,3.57241265500502908e-160
