z,shape_lane,group,macro_index,species,q_macro_group,j_abs_s-1_cMpc-3,threshold_supported,micro_node_count
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,16,HI,0.0013948467776097795,1.359323865291316e+47,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,16,HeI,0.0013948467776097795,1.0310082543010648e+46,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,16,HeII,0.0013948467776097795,0.0,False,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,17,HI,3.743504636429316e-05,3.6572685907383856e+45,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,17,HeI,3.743504636429316e-05,2.676023685835127e+44,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,17,HeII,3.743504636429316e-05,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G2a,0,HI,0.19733828529381234,2.055037833317016e+49,True,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G2a,0,HeI,0.19733828529381234,1.3952004640910911e+47,True,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G2a,0,HeII,0.19733828529381234,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G2a,1,HI,0.01275961333050176,1.0700351662962534e+48,True,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G2a,1,HeI,0.01275961333050176,2.6774428576369653e+47,True,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G2a,1,HeII,0.01275961333050176,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G2a,2,HI,0.005614644130424928,4.378684730254614e+47,True,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G2a,2,HeI,0.005614644130424928,1.5079791942360382e+47,True,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G2a,2,HeII,0.005614644130424928,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G2a,3,HI,0.0025875934731582634,1.9624352569448668e+47,True,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G2a,3,HeI,0.0025875934731582634,7.505226431198367e+46,True,2560
