history_provenance,interval_index,z_mid,sequence,level,delta_chi_cMpc,group,component,finite_cell_deposition_rate,differential_hazard_rate,relative_difference,observed_order
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,4,0.0625,G2b,TOTAL_PHYSICAL,2.5084091147731736e+48,2.508486157186414e+48,3.071271213503169e-05,0.9999692516977469
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,4,0.0625,G3,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,4,0.0625,G3,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,4,0.0625,G3,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,4,0.0625,G3,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,4,0.0625,G3,TOTAL_PHYSICAL,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,5,0.03125,G1,EFFECTIVE_HI_SUBGRID,4.022583038673067e+50,4.025240782605081e+50,0.0006602695529418555,0.9993264676869514
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,5,0.03125,G1,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,5,0.03125,G1,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,5,0.03125,G1,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,5,0.03125,G1,TOTAL_PHYSICAL,4.022583038673067e+50,4.025240782605081e+50,0.0006602695529418555,0.9993264676869514
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,5,0.03125,G2a,EFFECTIVE_HI_SUBGRID,9.815890575168906e+49,9.819056446195713e+49,0.00032242110473189176,0.9996830130819596
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,5,0.03125,G2a,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,5,0.03125,G2a,EXPLICIT_HEI_ATOMIC,6.652107040364825e+48,6.654262600321941e+48,0.0003239367134402075,0.9996818630276495
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,5,0.03125,G2a,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,5,0.03125,G2a,TOTAL_PHYSICAL,1.0481101279205386e+50,1.0484482706227906e+50,0.0003225172969679928,0.9996829397687257
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,5,0.03125,G2b,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,5,0.03125,G2b,EXPLICIT_HI_ATOMIC,9.614227179389375e+47,9.614376044788035e+47,1.5483625558907962e-05,0.999984515828305
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,5,0.03125,G2b,EXPLICIT_HEI_ATOMIC,1.5470249176303468e+48,1.5470485527076108e+48,1.5277527794861238e-05,0.9999846948871552
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,5,0.03125,G2b,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,5,0.03125,G2b,TOTAL_PHYSICAL,2.5084476355692846e+48,2.508486157186414e+48,1.535651971568042e-05,0.9999846257057039
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,5,0.03125,G3,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,5,0.03125,G3,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,5,0.03125,G3,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,5,0.03125,G3,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,5,0.03125,G3,TOTAL_PHYSICAL,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,6,0.015625,G1,EFFECTIVE_HI_SUBGRID,4.023911600343754e+50,4.025240782605081e+50,0.00033021186386423905,0.9996631659987124
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,6,0.015625,G1,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,6,0.015625,G1,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,6,0.015625,G1,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,6,0.015625,G1,TOTAL_PHYSICAL,4.023911600343754e+50,4.025240782605081e+50,0.00033021186386423905,0.9996631659987124
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,6,0.015625,G2a,EFFECTIVE_HI_SUBGRID,9.81747333675735e+49,9.819056446195713e+49,0.00016122826536736417,0.999841492662014
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,6,0.015625,G2a,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,6,0.015625,G2a,EXPLICIT_HEI_ATOMIC,6.653184701492698e+48,6.654262600321941e+48,0.00016198621755494734,0.9998409175858143
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,6,0.015625,G2a,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,6,0.015625,G2a,TOTAL_PHYSICAL,1.0482791806906619e+50,1.0484482706227906e+50,0.0001612763708678987,0.9998414560040912
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,6,0.015625,G2b,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,6,0.015625,G2b,EXPLICIT_HI_ATOMIC,9.614301611689267e+47,9.614376044788035e+47,7.741854325418866e-06,0.9999922578860546
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,6,0.015625,G2b,EXPLICIT_HEI_ATOMIC,1.5470367351062946e+48,1.5470485527076108e+48,7.638804415981878e-06,0.9999923474846565
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,6,0.015625,G2b,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,6,0.015625,G2b,TOTAL_PHYSICAL,2.5084668962752208e+48,2.508486157186414e+48,7.678300770366485e-06,0.9999923128231386
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,6,0.015625,G3,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,6,0.015625,G3,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,6,0.015625,G3,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,6,0.015625,G3,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,6,0.015625,G3,TOTAL_PHYSICAL,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,7,0.0078125,G1,EFFECTIVE_HI_SUBGRID,4.024576113879186e+50,4.025240782605081e+50,0.0001651252090972219,0.99983156603317
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,7,0.0078125,G1,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,7,0.0078125,G1,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,7,0.0078125,G1,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,7,0.0078125,G1,TOTAL_PHYSICAL,4.024576113879186e+50,4.025240782605081e+50,0.0001651252090972219,0.99983156603317
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,7,0.0078125,G2a,EFFECTIVE_HI_SUBGRID,9.818264847989806e+49,9.819056446195713e+49,8.061856149263237e-05,0.9999207428649151
