shape_lane,interval_index,substep,macro_index,z_mid,dt_Myr,family,k_min_Myr_inv,k_max_Myr_inv,selected_k_Myr_inv,two_mode_weight_slow,selected_model
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,8,5.95000000000000018e+00,1.01174195637656954e+01,M,4.41748181973601524e-05,4.41846920437756948e-05,4.41846920437756948e-05,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,8,5.95000000000000018e+00,1.01174195637656954e+01,I,4.42182368552096423e-05,1.55525526233678772e-02,1.55525526233678772e-02,7.64883941051182495e-16,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,8,5.95000000000000018e+00,1.01174195637656954e+01,U,4.32999097097645970e-05,6.09221024039510034e-02,6.09221024039510034e-02,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,8,5.95000000000000018e+00,1.01174195637656954e+01,C,4.41846920437807093e-05,2.05887491190409699e+00,2.06892460455746332e-03,9.79723251898225511e-01,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,8,5.95000000000000018e+00,1.01174195637656954e+01,J_G1,5.54374785513672325e-17,2.82066681243358080e-03,2.82066681243358080e-03,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,8,5.95000000000000018e+00,1.01174195637656954e+01,J_G2a,1.16473559055322325e-16,8.68337611343973116e-04,8.68337611343973116e-04,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,9,5.95000000000000018e+00,1.01174195637656954e+01,M,4.41748181973601524e-05,4.41846920437649816e-05,4.41846920437649816e-05,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,9,5.95000000000000018e+00,1.01174195637656954e+01,I,4.42182368551750630e-05,1.55525526233679032e-02,1.55525526233679032e-02,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,9,5.95000000000000018e+00,1.01174195637656954e+01,U,4.32999097097456573e-05,5.98537793268164864e-02,5.98537793268164864e-02,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,9,5.95000000000000018e+00,1.01174195637656954e+01,C,4.41846920437740143e-05,2.05887491190408012e+00,9.46999323765927497e-04,9.90907435237718626e-01,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,9,5.95000000000000018e+00,1.01174195637656954e+01,J_G1,1.97689957063715025e-16,1.31831562780940518e-03,1.31831562780940518e-03,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,9,5.95000000000000018e+00,1.01174195637656954e+01,J_G2a,4.10772119280426158e-16,3.69322918868007018e-04,3.69322918868007018e-04,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,10,5.95000000000000018e+00,1.01174195637656954e+01,M,4.41748181973601592e-05,4.41846920437638906e-05,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,10,5.95000000000000018e+00,1.01174195637656954e+01,I,4.42182368552033268e-05,1.55525526233679275e-02,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,10,5.95000000000000018e+00,1.01174195637656954e+01,U,4.32999097097680054e-05,5.83589642384094373e-02,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,10,5.95000000000000018e+00,1.01174195637656954e+01,C,4.41846920437761624e-05,2.05887491190409300e+00,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,10,5.95000000000000018e+00,1.01174195637656954e+01,J_G1,1.77771947154865019e-16,1.28277010813833300e-04,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,10,5.95000000000000018e+00,1.01174195637656954e+01,J_G2a,2.03193278248005558e-16,3.11090421293938488e-05,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,11,5.95000000000000018e+00,1.01174195637656954e+01,M,4.41748181973601592e-05,4.41846920437462452e-05,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,11,5.95000000000000018e+00,1.01174195637656954e+01,I,4.42182368551923290e-05,1.55525526233678980e-02,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,11,5.95000000000000018e+00,1.01174195637656954e+01,U,4.32999097097734332e-05,5.80075599114579371e-02,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,11,5.95000000000000018e+00,1.01174195637656954e+01,C,4.41846920437627793e-05,2.05887491190405258e+00,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,11,5.95000000000000018e+00,1.01174195637656954e+01,J_G1,6.19627861903241677e-17,3.28596626148663215e-06,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,11,5.95000000000000018e+00,1.01174195637656954e+01,J_G2a,9.63990585539706983e-17,7.68430285585963927e-07,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,12,5.95000000000000018e+00,1.01174195637656954e+01,M,4.41748181973601524e-05,4.41846920437660929e-05,,,NONE
