shape_lane,interval_index,substep,macro_index,z_mid,dt_Myr,effective_HI_G2b,effective_HI_G3,primary_HeII_G3,exact_zero_pass
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,16,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,17,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,0,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,1,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,2,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,3,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,4,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,5,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,6,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,7,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,8,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,9,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,10,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,11,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,12,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,13,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,14,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,15,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,16,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
