shape_lane,interval_index,substep,substeps_per_interval,z_mid,tau_Myr,macro_index,violated_constraints,M_eq_nonnegative,M_eq_mass_cap_slack,M_eq_volume_cap_slack,kappa_eq_G1,kappa_eq_G2a,cycling_eq_slack,m_eq_nonnegative,m_eq_upper_slack,k_eq_G1,k_eq_G2a,shape_cycling_slack
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,100.0,15,cycling_eq_slack,4.5410518243014344e+64,6.499320489030372e+64,1.2811158268874663e+66,0.0021228668614313067,0.0009958836384181147,-1.020900539185028e+48,0.039205058713655316,0.12395911436611548,0.03823947086224426,0.043502819994010344,0.0036917572012922784
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,100.0,16,cycling_eq_slack,4.514424594097929e+63,6.562733787846557e+63,1.2858020306703965e+65,0.0002151121213114613,9.679082373980442e-05,-1.1492270327094725e+47,0.0038771211523994193,0.012493661790138694,0.003879014697993682,0.004301773364052559,0.0002947839539666807
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,100.0,17,cycling_eq_slack,1.193268689158076e+62,1.681917283471618e+62,3.335275776356658e+63,5.704410150828039e-06,2.5449065136020026e-06,-3.080437623336559e+45,0.00010166073900960473,0.0003232591172783808,0.00010218579389141143,0.00011089570442528404,7.9119378164756e-06
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,300.0,0,M_eq_nonnegative;cycling_eq_slack;m_eq_nonnegative;k_eq_G1;k_eq_G2a;shape_cycling_slack,-1.8213077291016636e+65,3.801565194872654e+65,1.1277115251833483e+67,0.003160057870763715,0.0009189232931755408,-9.408167652491383e+49,-1.33351710295871,1.6261766824707145,-1.3274859533536565,-1.6211992281867542,-0.06699057488774351
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,300.0,1,cycling_eq_slack;shape_cycling_slack,1.3616599430227933e+65,2.431631802569399e+65,2.1116885070442683e+67,0.00766585801009425,0.0022128116310867565,-7.001404370788757e+48,0.10439021039690953,0.45621525955855746,0.13372593777885652,0.09255586049422368,-0.006790610944074821
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,300.0,2,cycling_eq_slack;shape_cycling_slack,7.025288296019385e+64,1.4337935243651018e+65,1.1899131789963111e+67,0.003977287032929793,0.001051083194954074,-3.269672700959239e+48,0.05898149340677635,0.25674270540121513,0.07646156295182543,0.04977444671378509,-0.0037929565766262885
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,300.0,3,cycling_eq_slack;shape_cycling_slack,3.42275089055944e+64,7.20927788843576e+64,5.922684474581893e+66,0.001977363821602999,0.0004846235416641036,-1.6923297548579676e+48,0.02866807463247364,0.12846124443861054,0.0382601841441178,0.023415311258071267,-0.0024204857530813334
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,300.0,4,cycling_eq_slack;shape_cycling_slack,3.444304311586193e+63,7.223149952080601e+63,5.942317127255579e+65,0.0002090598676590789,4.339639602854063e-05,-2.041384697290177e+47,0.00273670868215757,0.013028578070859536,0.003937163703523558,0.0020322889723011946,-0.00038072943481450234
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,300.0,5,cycling_eq_slack;shape_cycling_slack,8.814957290464288e+61,1.8873474891345809e+62,1.5425122343143816e+64,5.364569708622241e-06,1.09490294935963e-06,-5.228483444824549e+45,7.043791808203972e-05,0.00033876568598165076,0.0001016829964183867,5.195336196140356e-05,-9.952480509444627e-06
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,300.0,6,M_eq_mass_cap_slack;cycling_eq_slack,1.5554795500986069e+66,-7.548637817043824e+65,2.3173015321868085e+67,0.07247019663728088,0.038134421326110834,-5.47512265061676e+49,1.0479686465630917,0.1352505972927016,0.9174058342560003,1.2770689659758445,0.14277914058654773
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,300.0,7,cycling_eq_slack,1.2279522086822783e+66,3.056711903631328e+65,4.6140835486926327e+67,0.06283416499079232,0.024901320453386517,-5.041841784316675e+49,0.9440544249682231,1.3224669080022569,1.0257996176147834,1.0406904793322707,0.014883365502949664
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,300.0,8,cycling_eq_slack;shape_cycling_slack,5.688800310371555e+65,2.9483258841920674e+65,2.6108477478317702e+67,0.030313354511286947,0.010193652398957784,-2.368704986509138e+49,0.4587866109558174,0.8176826179123404,0.5405284894767892,0.4403676969637884,-0.005033622638112578
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,300.0,9,cycling_eq_slack;shape_cycling_slack,2.7110737140558197e+65,1.5874430382446916e+65,1.3005654548924956e+67,0.014703352780858181,0.00459808809236638,-1.1501257089950714e+49,0.22434798541461726,0.4109240067370628,0.2722029019916911,0.20875588300829878,-0.006336673425583389
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,300.0,10,cycling_eq_slack;shape_cycling_slack,2.4904841382962818e+64,1.8223550958639873e+64,1.3071951133737905e+66,0.0014109422184919187,0.00038974385071001243,-1.2559246769066219e+48,0.019940757531399067,0.04379811171108092,0.025764660782507193,0.01778308332546066,-0.0014848364652618462
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,300.0,11,cycling_eq_slack;shape_cycling_slack,6.391391507871817e+62,4.803009114291384e+62,3.393683215878569e+64,3.645150413868669e-05,9.791937553418581e-06,-3.261454252935701e+46,0.0005142521807614237,0.0011401531860153013,0.0006712681189240319,0.0004527345998450176,-4.159876625320542e-05
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,2,5.85,300.0,12,M_eq_mass_cap_slack;cycling_eq_slack;m_eq_nonnegative;k_eq_G1;k_eq_G2a,2.967627319482757e+65,-9.113142532917453e+64,2.1739451198553414e+66,0.022169964196179892,0.01428357651531428,-9.913293777898053e+49,-0.9120026016642875,1.2159023357638623,-1.0179768054293927,-0.997466103975247,0.0029600668124436513
