interval_index,node_index,fraction,z_eval,group,macro_index,q_macro,kappa_macro_cMpc_inv,current_macro_s_inv_cMpc3,tau_weighted_macro
0,14,0.9619397662556434,5.903806023374436,G3,16,0.001987436761800175,0.003815610523166706,0.0,1.1073697930588692e-05
0,14,0.9619397662556434,5.903806023374436,G3,17,5.1585886036716275e-05,9.903794344142422e-05,0.0,2.8742877782684607e-07
0,15,0.9903926402016152,5.900960735979838,G1,0,0.02628586106163004,0.0011765084750650408,1.0046910581074677e+49,5.082598511134538e-07
0,15,0.9903926402016152,5.900960735979838,G1,1,0.050352008016312934,0.0022536664874261295,1.924540805155122e+49,9.735996107425075e-07
0,15,0.9903926402016152,5.900960735979838,G1,2,0.028357460355473887,0.0012692295816870245,1.0838711649195212e+49,5.483160146223132e-07
0,15,0.9903926402016152,5.900960735979838,G1,3,0.01411291390733935,0.0006316689714260546,5.3941997080863725e+48,2.7288539281644046e-07
0,15,0.9903926402016152,5.900960735979838,G1,4,0.0014159937558769233,6.337736665816005e-05,5.412172960703206e+47,2.737946357747947e-08
0,15,0.9903926402016152,5.900960735979838,G1,5,3.6753517859459754e-05,1.6450222098003927e-06,1.4047829995302611e+46,7.106610459268049e-10
0,15,0.9903926402016152,5.900960735979838,G1,6,0.13819304079304517,0.006185275167772812,5.281976955288798e+49,2.6720819292816044e-06
0,15,0.9903926402016152,5.900960735979838,G1,7,0.26471634623250817,0.011848233698739807,1.0117916448356547e+50,5.118519435523818e-06
0,15,0.9903926402016152,5.900960735979838,G1,8,0.14908408997913766,0.006672739194145986,5.698251685837692e+49,2.882669781998856e-06
0,15,0.9903926402016152,5.900960735979838,G1,9,0.07419602815114101,0.0033208824976787197,2.8359004810899927e+49,1.43464435625264e-06
0,15,0.9903926402016152,5.900960735979838,G1,10,0.0074443246279741315,0.0003331947542221336,2.845349585405976e+48,1.4394245325207992e-07
0,15,0.9903926402016152,5.900960735979838,G1,11,0.0001932248055687245,8.64839925963992e-06,7.385386155100261e+46,3.7361686832143625e-09
0,15,0.9903926402016152,5.900960735979838,G1,12,0.0535506691338551,0.0023968328803712193,2.0467991635621706e+49,1.0354484891015854e-06
0,15,0.9903926402016152,5.900960735979838,G1,13,0.10257924270332348,0.004591264791488246,3.9207560159367986e+49,1.983458350536109e-06
0,15,0.9903926402016152,5.900960735979838,G1,14,0.057771018929604984,0.0025857282447192672,2.2081082297530822e+49,1.1170526014342676e-06
0,15,0.9903926402016152,5.900960735979838,G1,15,0.02875142577199805,0.0012868627743123854,1.0989292043064515e+49,5.559336765842683e-07
0,15,0.9903926402016152,5.900960735979838,G1,16,0.0028847224345736715,0.00012911505483989344,1.1025907914307625e+48,5.577860248376178e-08
0,15,0.9903926402016152,5.900960735979838,G1,17,7.487582277721709e-05,3.351308898282717e-06,2.8618834070655505e+46,1.447788773117169e-09
0,15,0.9903926402016152,5.900960735979838,G2a,0,0.028650880610707995,0.0006355040247752547,3.626588141949345e+48,2.1167804513359362e-07
0,15,0.9903926402016152,5.900960735979838,G2a,1,0.05488233262750623,0.0012173428017008031,6.946928417796905e+48,4.0548090094725646e-07
0,15,0.9903926402016152,5.900960735979838,G2a,2,0.03090886804745155,0.000685588352843209,3.912401013603429e+48,2.2836047709931305e-07
0,15,0.9903926402016152,5.900960735979838,G2a,3,0.015382696061595398,0.0003412029595831946,1.947120016525531e+48,1.1365022511684254e-07
0,15,0.9903926402016152,5.900960735979838,G2a,4,0.001543395057518498,3.423398338774494e-05,1.953607740715617e+47,1.1402890301468218e-08
0,15,0.9903926402016152,5.900960735979838,G2a,5,4.0060344599173875e-05,8.885768843399443e-07,5.070782034932307e+45,2.9597329126986616e-10
0,15,0.9903926402016152,5.900960735979838,G2a,6,0.14026850140606184,0.003111289960121857,1.7754989481827952e+49,1.0363298278642394e-06
0,15,0.9903926402016152,5.900960735979838,G2a,7,0.2686920048262722,0.005959846498687029,3.4010655790292497e+49,1.9851466032563914e-06
0,15,0.9903926402016152,5.900960735979838,G2a,8,0.1513231184787168,0.0033564919745896374,1.915426735165014e+49,1.1180033988596622e-06
0,15,0.9903926402016152,5.900960735979838,G2a,9,0.0753103457259354,0.0016704557345494158,9.532677563624589e+48,5.564068685429198e-07
0,15,0.9903926402016152,5.900960735979838,G2a,10,0.007556127671508055,0.00016760216246771695,9.56444005504837e+47,5.5826079345250274e-08
0,15,0.9903926402016152,5.900960735979838,G2a,11,0.0001961267640979985,4.350279827135302e-06,2.4825449753571173e+46,1.4490210819951434e-09
0,15,0.9903926402016152,5.900960735979838,G2a,12,0.049110188971760484,0.0010893111165791805,6.216298598072199e+48,3.628352279614885e-07
0,15,0.9903926402016152,5.900960735979838,G2a,13,0.0940732594983662,0.0020866351665503433,1.1907660780373755e+49,6.950307720216122e-07
0,15,0.9903926402016152,5.900960735979838,G2a,14,0.052980582738048176,0.0011751601642702874,6.706207593478354e+48,3.914304183668692e-07
0,15,0.9903926402016152,5.900960735979838,G2a,15,0.02636732604294762,0.0005848525932076239,3.337539018836567e+48,1.9480671843940648e-07
0,15,0.9903926402016152,5.900960735979838,G2a,16,0.002645518089398172,5.868012981073727e-05,3.3486595622258656e+47,1.9545580645087412e-08
0,15,0.9903926402016152,5.900960735979838,G2a,17,6.866703750833984e-05,1.5231007834933351e-06,8.691776959814096e+45,5.073248694291299e-10
0,15,0.9903926402016152,5.900960735979838,G2b,0,0.029236816298577634,2.7295930797854004e-05,1.0067915779426606e+47,7.915320326265943e-08
0,15,0.9903926402016152,5.900960735979838,G2b,1,0.05600472456222287,5.2286851974292466e-05,1.928564466062865e+47,1.516223005156189e-07
0,15,0.9903926402016152,5.900960735979838,G2b,2,0.03154098156279972,2.944713409429791e-05,1.086137227568666e+47,8.539129908154664e-08
0,15,0.9903926402016152,5.900960735979838,G2b,3,0.015697285714898125,1.4655221697611669e-05,5.405477427132832e+46,4.249746053655707e-08
0,15,0.9903926402016152,5.900960735979838,G2b,4,0.0015749588428334846,1.470405229639948e-06,5.423488256647878e+45,4.263906033543966e-09
0,15,0.9903926402016152,5.900960735979838,G2b,5,4.0879613852637544e-05,3.816582145501507e-08,1.4077199964616494e+44,1.1067389662171483e-10
0,15,0.9903926402016152,5.900960735979838,G2b,6,0.14078269861107365,0.0001314368418085917,4.8479572411091985e+47,3.811427839894511e-07
0,15,0.9903926402016152,5.900960735979838,G2b,7,0.2696769777639293,0.0002517744766613574,9.286527890212281e+47,7.300998993261267e-07
0,15,0.9903926402016152,5.900960735979838,G2b,8,0.15187783977248878,0.00014179543223244516,5.230026703232581e+47,4.111808002566367e-07
0,15,0.9903926402016152,5.900960735979838,G2b,9,0.0755864188919889,7.056861589384846e-05,2.602874716937038e+47,2.0463606971957428e-07
0,15,0.9903926402016152,5.900960735979838,G2b,10,0.007583826974562235,7.080374763329485e-06,2.6115473889457255e+46,2.053179087271441e-08
0,15,0.9903926402016152,5.900960735979838,G2b,11,0.00019684572689375305,1.837781270119535e-07,6.778529439276643e+44,5.329229309063037e-10
0,15,0.9903926402016152,5.900960735979838,G2b,12,0.048010056078879,4.4822909408023535e-05,1.6532620933532273e+47,1.2997823321987575e-07
0,15,0.9903926402016152,5.900960735979838,G2b,13,0.09196589462599239,8.586074043896315e-05,3.166914181826146e+47,2.489804319397675e-07
0,15,0.9903926402016152,5.900960735979838,G2b,14,0.051793747928928,4.835542094568935e-05,1.7835563445896361e+47,1.4022187011356743e-07
0,15,0.9903926402016152,5.900960735979838,G2b,15,0.025776663223591394,2.4065479919746563e-05,8.876386257637317e+46,6.978548699467349e-08
0,15,0.9903926402016152,5.900960735979838,G2b,16,0.0025862550010290054,2.414566511372374e-06,8.905962013294741e+45,7.001800938068536e-09
0,15,0.9903926402016152,5.900960735979838,G2b,17,6.712880545901052e-05,6.267246096972942e-08,2.3116304895608995e+44,1.8173866569511134e-10
0,15,0.9903926402016152,5.900960735979838,G3,0,0.03602485983187306,0.06916318351164256,0.0,0.00020056057305159664
0,15,0.9903926402016152,5.900960735979838,G3,1,0.06900759411259468,0.132485869968149,0.0,0.00038418477364591505
0,15,0.9903926402016152,5.900960735979838,G3,2,0.0388639935400501,0.07461396185163226,0.0,0.00021636683256626366
0,15,0.9903926402016152,5.900960735979838,G3,3,0.019341795352990594,0.037133805591103373,0.0,0.00010768123950923383
0,15,0.9903926402016152,5.900960735979838,G3,4,0.0019406241423354149,0.0037257533911267864,0.0,1.0804002899136814e-05
0,15,0.9903926402016152,5.900960735979838,G3,5,5.0370818217098764e-05,9.670561274185681e-05,0.0,2.8042857665086626e-07
0,15,0.9903926402016152,5.900960735979838,G3,6,0.14509374885126028,0.2785616828219627,0.0,0.0008077778942547567
0,15,0.9903926402016152,5.900960735979838,G3,7,0.27793503085732657,0.5336001759121861,0.0,0.001547342843803102
0,15,0.9903926402016152,5.900960735979838,G3,8,0.15652864561787916,0.30051524120351747,0.0,0.0008714391953396775
0,15,0.9903926402016152,5.900960735979838,G3,9,0.07790102752312024,0.14956013951122005,0.0,0.00043369703016920397
0,15,0.9903926402016152,5.900960735979838,G3,10,0.00781605905579646,0.01500584677738576,0.0,4.351420909204282e-05
0,15,0.9903926402016152,5.900960735979838,G3,11,0.0002028735401589995,0.00038949158867397393,0.0,1.1294543174126627e-06
0,15,0.9903926402016152,5.900960735979838,G3,12,0.03691096230539696,0.07086438840938461,0.0,0.0002054937558787274
