interval_index,node_index,fraction,z_mid,thermal_photoheat_erg_cm-3_s-1,thermal_photoheat_H_erg_cm-3_s-1,thermal_photoheat_HeI_erg_cm-3_s-1,thermal_photoheat_HeII_erg_cm-3_s-1,thermal_threshold_H_erg_cm-3_s-1,thermal_threshold_HeI_erg_cm-3_s-1,thermal_threshold_HeII_erg_cm-3_s-1,thermal_recombination_cooling_erg_cm-3_s-1,thermal_excitation_cooling_erg_cm-3_s-1,thermal_collisional_ionization_cooling_erg_cm-3_s-1,thermal_free_free_cooling_erg_cm-3_s-1,thermal_cooling_total_erg_cm-3_s-1,thermal_expansion_work_erg_cm-3_s-1,thermal_thermal_rhs_erg_cm-3_s-1
3,2,0.0380602337443566,5.65,8.536931221412295e-33,6.933885353898881e-33,1.6030458675134128e-33,0.0,1.2090768776575279e-32,2.9859694351620456e-33,0.0,9.01116195184684e-34,1.0458596598604871e-34,2.1805876888359284e-36,7.990898475241016e-34,1.80697259638367e-33,1.5664267634536472e-32,-8.934309009507847e-33
3,3,0.0842651938487273,5.65,8.244989977455302e-33,6.665569507336294e-33,1.5794204701190072e-33,0.0,1.2042645801122416e-32,2.971984262368676e-33,0.0,9.011030659490856e-34,9.494646840244151e-35,1.9743680680026745e-36,7.98748331023654e-34,1.796772233443184e-33,1.565166230958352e-32,-9.203444565571402e-33
3,4,0.1464466094067262,5.65,7.924035292211709e-33,6.373786526641469e-33,1.550248765570239e-33,0.0,1.195560901683957e-32,2.9561892645589978e-33,0.0,9.010784143760976e-34,8.449132490198691e-35,1.7505057042699002e-36,7.982686949645119e-34,1.7855889399468664e-33,1.563416122191464e-32,-9.495714869649796e-33
3,5,0.2222148834901988,5.65,7.642528097082269e-33,6.123375963864847e-33,1.5191521332174244e-33,0.0,1.189207957552256e-32,2.941712855138749e-33,0.0,9.010397221965021e-34,7.48651525952799e-35,1.543925841807094e-36,7.976606932653367e-34,1.7751094938989258e-33,1.5612219362706388e-32,-9.744800759523046e-33
3,6,0.3086582838174551,5.65,7.413687269837348e-33,5.924897921244348e-33,1.4887893485930004e-33,0.0,1.18547118059459e-32,2.929884202276576e-33,0.0,9.00987968019103e-34,6.654969553503276e-35,1.3650536341550176e-36,7.969454114481303e-34,1.765848128636421e-33,1.5586614431053482e-32,-9.938775289852556e-33
3,7,0.4024548389919358,5.65,7.234022030679474e-33,5.773155618939793e-33,1.4608664117396817e-33,0.0,1.1836328638309186e-32,2.920948178547623e-33,0.0,9.009257499534356e-34,5.958565614814613e-35,1.2149372606890532e-36,7.961515017294487e-34,1.7578778450917192e-33,1.5558360092944663e-32,-1.0082215907356908e-32
3,8,0.4999999999999999,5.65,7.095906669250603e-33,5.6595842429389725e-33,1.4363224263116299e-33,0.0,1.1830669587645764e-32,2.9146706304946746e-33,0.0,9.00856442125928e-34,5.385649791370339e-35,1.0912264182554205e-36,7.95312281245398e-34,1.751116447703285e-33,1.5528620957598696e-32,-1.018383073605138e-32
3,9,0.5975451610080641,5.65,6.991329084897666e-33,5.575821893518467e-33,1.4155071913791984e-33,0.0,1.1833079408175795e-32,2.910602561482871e-33,0.0,9.007837580714828e-34,4.920143338011628e-35,9.905762803880065e-37,7.94463334580101e-34,1.745439102312088e-33,1.549863461908095e-32,-1.0252744636495371e-32
3,10,0.6913417161825448,5.65,6.913203477182168e-33,5.5148193254467755e-33,1.3983841517353915e-33,0.0,1.1840186069922344e-32,2.9082348844765013e-33,0.0,9.007114714364969e-34,4.5463622933719387e-35,9.09684814433772e-37,7.936404757289764e-34,1.7407252549136265e-33,1.5469642862224622e-32,-1.029716463995608e-32
3,11,0.777785116509801,5.65,6.855708423059088e-33,5.4710046255556754e-33,1.3847037975034129e-33,0.0,1.1849534230631596e-32,2.907081143848337e-33,0.0,9.00643217073805e-34,4.2507847896459277e-35,8.456820136835006e-37,7.928780238979165e-34,1.7368747708818646e-33,1.5442832663726368e-32,-1.0323999011549143e-32
3,12,0.8535533905932737,5.65,6.814254930112319e-33,5.440125941726855e-33,1.3741289883854656e-33,0.0,1.1859314233851759e-32,2.9067159617374097e-33,0.0,9.005823351887437e-34,4.022476294813616e-35,7.96231710738366e-37,7.922073564931161e-34,1.7338106863407345e-33,1.5419286700433804e-32,-1.0338842456662218e-32
3,13,0.9157348061512728,5.65,6.78534436684275e-33,5.419027781933996e-33,1.3663165849087556e-33,0.0,1.1868188058679688e-32,2.906789869865681e-33,0.0,9.005317422977234e-34,3.852992033893117e-35,7.595195494424696e-37,7.916557156344929e-34,1.7314768978205898e-33,1.539994287427112e-32,-1.0346075405248956e-32
3,14,0.9619397662556434,5.65,6.76641806082825e-33,5.405451439350921e-33,1.3609666214773293e-33,0.0,1.1875187922149455e-32,2.907033223485986e-33,0.0,9.004938237705381e-34,3.736120279502429e-35,7.342047258670816e-37,7.912452529729001e-34,1.7298344842643298e-33,1.5385562314716006e-32,-1.0348978738152085e-32
3,15,0.9903926402016152,5.65,6.755733492378955e-33,5.397882752812918e-33,1.3578507395660368e-33,0.0,1.1879648281505992e-32,2.9072549414034405e-33,0.0,9.004703474198339e-34,3.6676279421874606e-35,7.1937015700860235e-37,7.909923010170307e-34,1.7288582980157478e-33,1.5376705294703554e-32,-1.0349830100340348e-32
3,16,1.0,5.65,6.752281935757152e-33,5.395453980633456e-33,1.3568279551236965e-33,0.0,1.1881177980583024e-32,2.9073413957444522e-33,0.0,9.004623997916828e-34,3.6450644005838087e-35,7.14483443654282e-37,7.9090686126032e-34,1.728534388501495e-33,1.5373714516833566e-32,-1.034996696957791e-32
4,0,0.0,5.55,6.165502748938337e-33,4.92658432598988e-33,1.2389184229484573e-33,0.0,1.084869325612588e-32,2.6546908938503608e-33,0.0,8.235305192847694e-34,4.7248265880994526e-35,1.0738825621137284e-36,7.406722316211768e-34,1.6125248993490538e-33,1.5030810735359269e-32,-1.0477832885769987e-32
4,1,0.0096073597983847,5.55,5.9912973256257976e-33,4.784426121271124e-33,1.2068712043546738e-33,0.0,1.0516746702442466e-32,2.5843092389049627e-33,0.0,8.235260066410581e-34,4.5871798550972735e-35,1.0419062031086716e-36,7.405891246128245e-34,1.611028836007964e-33,1.5027706686254817e-32,-1.0647438196636981e-32
4,2,0.0380602337443566,5.55,5.9390573294412346e-33,4.7367090406492095e-33,1.2023482887920239e-33,0.0,1.0356844071795717e-32,2.5695019836211362e-33,0.0,8.235047186556922e-34,4.5373896918503174e-35,1.0285604684622305e-36,7.403343449729658e-34,1.6102415210156233e-33,1.5018420375741735e-32,-1.0689604567316123e-32
