# z zre gamma density mfp_13.6eV mfp_14.48eV mfp_16.7eV mfp_20.05eV mfp_25.5eV mfp_39.5eV
5.550000 12.000000 1.000000 0.000000 120.985400 140.384600 192.733700 283.593100 457.522300 826.481300
5.570000 12.000000 1.000000 0.000000 119.371200 138.556600 190.366200 280.237500 451.934800 817.170300
5.580000 12.000000 1.000000 0.000000 118.193800 137.125600 188.226900 277.020900 447.365500 808.967100
5.590000 12.000000 1.000000 0.000000 117.233418 136.100421 187.099028 276.020542 447.866368 820.093524
5.600000 12.000000 1.000000 0.000000 117.035900 135.781700 186.412000 274.488600 443.933600 807.561500
5.610000 12.000000 1.000000 0.000000 116.623718 135.422520 186.273328 275.048342 446.688268 816.083923
5.620000 12.000000 1.000000 0.000000 115.571417 134.163820 184.385828 271.664141 439.153466 798.631021
5.630000 12.000000 1.000000 0.000000 114.471300 132.817000 182.395600 268.740300 434.977100 792.166500
5.650000 12.000000 1.000000 0.000000 113.738817 131.974220 181.218727 266.955640 432.484665 790.263019
5.660000 12.000000 1.000000 0.000000 113.763500 132.148600 181.866700 268.451200 434.693900 788.634600
5.670000 12.000000 1.000000 0.000000 111.679200 129.655900 178.269000 262.997300 426.236500 778.946200
5.680000 12.000000 1.000000 0.000000 111.983900 130.012800 178.719800 263.586000 427.374800 782.130600
5.690000 12.000000 1.000000 0.000000 110.622000 128.485100 176.807000 261.124300 423.868100 775.833300
5.700000 12.000000 1.000000 0.000000 110.243716 128.053419 176.235226 260.479739 423.942163 778.888916
5.710000 12.000000 1.000000 0.000000 109.635300 127.334900 175.173800 258.712200 420.550000 772.622800
5.720000 12.000000 1.000000 0.000000 108.463416 126.100919 173.865826 257.522638 420.345962 778.065316
5.730000 12.000000 1.000000 0.000000 108.055300 125.508300 172.734500 255.424500 416.742700 774.169400
5.750000 12.000000 1.000000 0.000000 108.079400 125.652600 173.246500 256.754700 419.982200 781.857300
5.760000 12.000000 1.000000 0.000000 105.897316 123.099518 169.755525 251.779137 412.331661 767.620214
5.770000 12.000000 1.000000 0.000000 106.049700 123.193200 169.580600 250.744300 408.982900 761.372900
5.780000 12.000000 1.000000 0.000000 105.786500 122.902300 169.192300 250.128000 407.710400 757.114900
5.790000 12.000000 1.000000 0.000000 104.387115 121.274818 167.004325 247.192636 404.119359 755.039811
5.800000 12.000000 1.000000 0.000000 103.988500 120.910000 166.770100 247.373700 405.545800 760.262000
5.810000 12.000000 1.000000 0.000000 103.183000 119.957100 165.464500 245.575400 403.118700 757.483800
5.820000 12.000000 1.000000 0.000000 102.270515 118.850617 163.786024 242.837336 398.403858 751.487610
5.840000 12.000000 1.000000 0.000000 102.182300 118.926400 164.407300 244.639900 402.356300 752.433000
5.850000 12.000000 1.000000 0.000000 100.960915 117.450417 162.194224 241.121335 396.835758 748.180709
5.860000 12.000000 1.000000 0.000000 100.812500 117.253400 161.893500 240.668100 396.302900 749.731200
5.870000 12.000000 1.000000 0.000000 100.180915 116.607017 161.229823 240.089635 395.784558 745.795609
