interval_index,substep,quantity,shape_a,shape_b,total_variation,l1_distance,same_global_sum_by_construction
2,2,MASS,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,8.050808891712901e-07,1.6101617783425803e-06,True
2,2,MASS,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,1.2170048658621081e-06,2.4340097317242163e-06,True
2,2,MASS,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,4.165291335681811e-07,8.330582671363622e-07,True
2,2,G1_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2.86295442106059e-16,5.72590884212118e-16,True
2,2,G1_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,2.721703206776463e-16,5.443406413552926e-16,True
2,2,G1_CURRENT,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,3.2422049528642305e-16,6.484409905728461e-16,True
2,2,G2a_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2.404119909520793e-06,4.808239819041586e-06,True
2,2,G2a_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,3.63420082072444e-06,7.26840164144888e-06,True
2,2,G2a_CURRENT,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,1.2438327583889477e-06,2.4876655167778953e-06,True
2,2,G1_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,1.3477818850120976e-16,2.695563770024195e-16,True
2,2,G1_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,2.456395547037471e-19,4.912791094074942e-19,True
2,2,G1_OPACITY,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,1.3453254894650601e-16,2.6906509789301203e-16,True
2,2,G2a_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2.404119906062424e-06,4.808239812124848e-06,True
2,2,G2a_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,3.6342008165490953e-06,7.268401633098191e-06,True
2,2,G2a_OPACITY,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,1.243832760461407e-06,2.487665520922814e-06,True
3,1,MASS,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,7.995478550848458e-07,1.5990957101696916e-06,True
3,1,MASS,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,1.113412530662892e-06,2.226825061325784e-06,True
3,1,MASS,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,3.644124659758608e-07,7.288249319517216e-07,True
3,1,G1_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,3.554912576331573e-16,7.109825152663146e-16,True
3,1,G1_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,3.0019525277050207e-16,6.003905055410041e-16,True
3,1,G1_CURRENT,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,4.692952162944561e-16,9.385904325889122e-16,True
3,1,G2a_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2.724414721790076e-06,5.448829443580152e-06,True
3,1,G2a_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,3.793891097843083e-06,7.587782195686166e-06,True
3,1,G2a_CURRENT,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,1.2417151525720693e-06,2.4834303051441387e-06,True
3,1,G1_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,1.1722935989999517e-18,2.3445871979999033e-18,True
3,1,G1_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,1.664572207285206e-16,3.329144414570412e-16,True
3,1,G1_OPACITY,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,1.6718228093137028e-16,3.3436456186274055e-16,True
3,1,G2a_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2.7244147201643343e-06,5.448829440328669e-06,True
3,1,G2a_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,3.7938911022329378e-06,7.5877822044658756e-06,True
3,1,G2a_OPACITY,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,1.2417151574219318e-06,2.4834303148438636e-06,True
3,2,MASS,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,7.918012003516041e-07,1.5836024007032082e-06,True
3,2,MASS,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,1.102624905842942e-06,2.205249811685884e-06,True
3,2,MASS,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,3.608817486463925e-07,7.21763497292785e-07,True
3,2,G1_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2.9786591216555275e-16,5.957318243311055e-16,True
3,2,G1_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,1.8936268568817138e-16,3.7872537137634277e-16,True
3,2,G1_CURRENT,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,3.993946693552422e-16,7.987893387104844e-16,True
3,2,G2a_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2.724414721718212e-06,5.448829443436424e-06,True
3,2,G2a_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,3.7938910976838457e-06,7.587782195367691e-06,True
3,2,G2a_CURRENT,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,1.2417151524846962e-06,2.4834303049693924e-06,True
3,2,G1_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,1.1316360175317453e-18,2.2632720350634905e-18,True
3,2,G1_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,1.1615701618877122e-16,2.3231403237754245e-16,True
3,2,G1_OPACITY,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,1.164077379411585e-16,2.32815475882317e-16,True
3,2,G2a_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2.7244147202895664e-06,5.448829440579133e-06,True
3,2,G2a_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,3.7938910960797237e-06,7.587782192159447e-06,True
3,2,G2a_OPACITY,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,1.2417151508936854e-06,2.483430301787371e-06,True
4,1,MASS,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,6.651743930209621e-07,1.3303487860419243e-06,True
4,1,MASS,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,9.85569743280232e-07,1.971139486560464e-06,True
4,1,MASS,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,3.391201570893425e-07,6.78240314178685e-07,True
4,1,G1_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,3.1681403919563145e-16,6.336280783912629e-16,True
4,1,G1_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,2.3670505117610874e-16,4.734101023522175e-16,True
4,1,G1_CURRENT,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,4.456341979458545e-16,8.91268395891709e-16,True
4,1,G2a_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2.50196760685209e-06,5.00393521370418e-06,True
4,1,G2a_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,3.7070933548948876e-06,7.414186709789775e-06,True
4,1,G2a_CURRENT,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,1.2755566913060947e-06,2.5511133826121893e-06,True
4,1,G1_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,1.2855080227299615e-16,2.571016045459923e-16,True
4,1,G1_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,3.0275329227121006e-16,6.055065845424201e-16,True
4,1,G1_OPACITY,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,4.311482404819114e-16,8.622964809638228e-16,True
4,1,G2a_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2.5019676019605142e-06,5.0039352039210284e-06,True
4,1,G2a_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,3.707093351092286e-06,7.414186702184572e-06,True
4,1,G2a_OPACITY,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,1.2755566840441102e-06,2.5511133680882204e-06,True
4,2,MASS,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,6.524480035590998e-07,1.3048960071181996e-06,True
4,2,MASS,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,9.667134186584256e-07,1.933426837316851e-06,True
4,2,MASS,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,3.3263197117047897e-07,6.652639423409579e-07,True
4,2,G1_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,3.4516084380844386e-16,6.903216876168877e-16,True
4,2,G1_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,2.3117223196464365e-16,4.623444639292873e-16,True
4,2,G1_CURRENT,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,3.784526267673269e-16,7.569052535346538e-16,True
4,2,G2a_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2.501967606852576e-06,5.003935213705152e-06,True
4,2,G2a_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,3.7070933548622184e-06,7.414186709724437e-06,True
4,2,G2a_CURRENT,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,1.275556691377023e-06,2.551113382754046e-06,True
4,2,G1_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,1.4233372239071812e-16,2.8466744478143624e-16,True
4,2,G1_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,1.2914711346786317e-16,2.5829422693572635e-16,True
4,2,G1_OPACITY,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,2.7111830575715645e-16,5.422366115143129e-16,True
4,2,G2a_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2.5019676084285874e-06,5.003935216857175e-06,True
4,2,G2a_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,3.7070933532428117e-06,7.414186706485623e-06,True
4,2,G2a_OPACITY,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,1.2755566861901423e-06,2.5511133723802846e-06,True
