s,time_s,node_a_baseline_J,node_b_baseline_J,partition_shape_f,node_a_redistributed_J,node_b_redistributed_J,baseline_pointwise_total_J,redistributed_pointwise_total_J
0.145,92591629091392.77,1.0979356313407438e+48,1.0558221742696359e+48,0.12397499999999999,1.1502090678149848e+48,1.0035487377953949e+48,2.1537578056103797e+48,2.1537578056103797e+48
0.146,93230192050643.75,1.0979479116539971e+48,1.0558339654605449e+48,0.12468399999999999,1.1505202944195084e+48,1.0032615826950336e+48,2.153781877114542e+48,2.153781877114542e+48
0.147,93868755009894.73,1.0979601919672505e+48,1.0558457566514538e+48,0.125391,1.1508306777340709e+48,1.0029752708846335e+48,2.1538059486187042e+48,2.1538059486187042e+48
0.148,94507317969145.72,1.0979724722805038e+48,1.0558575478423628e+48,0.12609599999999999,1.1511402177586718e+48,1.0026898023641948e+48,2.1538300201228664e+48,2.1538300201228664e+48
0.149,95145880928396.7,1.0979847525937572e+48,1.0558693390332716e+48,0.126799,1.1514489144933119e+48,1.002405177133717e+48,2.1538540916270287e+48,2.1538540916270287e+48
0.15,95784443887647.69,1.0979970329070104e+48,1.0558811302241807e+48,0.1275,1.1517567679379902e+48,1.0021213951932009e+48,2.153878163131191e+48,2.153878163131191e+48
0.151,96423006846898.67,1.0980093132202638e+48,1.0558929214150897e+48,0.12819899999999998,1.1520637780927076e+48,1.0018384565426459e+48,2.1539022346353535e+48,2.1539022346353535e+48
0.152,97061569806149.66,1.098021593533517e+48,1.0559047126059987e+48,0.12889599999999998,1.1523699449574635e+48,1.0015563611820522e+48,2.1539263061395157e+48,2.1539263061395157e+48
0.153,97700132765400.64,1.0980338738467705e+48,1.0559165037969075e+48,0.12959099999999998,1.1526752685322583e+48,1.0012751091114197e+48,2.153950377643678e+48,2.153950377643678e+48
0.154,98338695724651.62,1.0980461541600238e+48,1.0559282949878164e+48,0.13028399999999998,1.1529797488170917e+48,1.0009947003307485e+48,2.1539744491478402e+48,2.1539744491478402e+48
0.155,98977258683902.61,1.098058434473277e+48,1.0559400861787254e+48,0.130975,1.153283385811964e+48,1.0007151348400385e+48,2.1539985206520024e+48,2.1539985206520024e+48
0.156,99615821643153.6,1.0980707147865303e+48,1.0559518773696342e+48,0.131664,1.1535861795168749e+48,1.0004364126392896e+48,2.1540225921561644e+48,2.1540225921561644e+48
0.157,100254384602404.6,1.0980829950997836e+48,1.0559636685605433e+48,0.132351,1.1538881299318245e+48,1.0001585337285024e+48,2.154046663660327e+48,2.154046663660327e+48
0.158,100892947561655.58,1.098095275413037e+48,1.0559754597514523e+48,0.133036,1.154189237056813e+48,9.998814981076763e+47,2.1540707351644895e+48,2.1540707351644895e+48
0.159,101531510520906.56,1.0981075557262903e+48,1.0559872509423613e+48,0.133719,1.15448950089184e+48,9.996053057768116e+47,2.1540948066686517e+48,2.1540948066686517e+48
0.16,102170073480157.55,1.0981198360395438e+48,1.05599904213327e+48,0.1344,1.154788921436906e+48,9.993299567359078e+47,2.154118878172814e+48,2.154118878172814e+48
0.161,102808636439408.53,1.098132116352797e+48,1.056010833324179e+48,0.135079,1.1550874986920106e+48,9.990554509849655e+47,2.1541429496769762e+48,2.1541429496769762e+48
0.162,103447199398659.52,1.0981443966660503e+48,1.056022624515088e+48,0.135756,1.1553852326571537e+48,9.987817885239846e+47,2.1541670211811385e+48,2.1541670211811385e+48
