shape_lane,interval_index,substep,macro_index,KL_photon,TV_G1,TV_G2a,KL_bernoulli,KL_thermal
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,5,9.885284214563552e+44,0.373592106790713,0.37055757916826204,0.05577257016335745,3.0087686083351544e+61
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,6,1.2504769876970037e+49,0.35396765319802803,0.3594910803185992,0.052320280282117666,4.216505550089496e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,7,1.2266747309724416e+49,0.35325261260104435,0.35785057649233865,0.05232028028211774,4.1644615499862443e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,8,5.7018471694854255e+48,0.35291427077208204,0.35697861470590575,0.05232028028211802,1.9421986894819434e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,9,2.6857985224322787e+48,0.35275826722184134,0.35656522320335393,0.05232028028211697,9.163242050665363e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,10,2.5747853074441487e+47,0.3525892321849394,0.35605835434427724,0.05232028028211681,8.800706214142959e+63
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,11,6.525308131619462e+45,0.3525399366715537,0.3558795995691148,0.05232028028211698,2.2315527088564343e+62
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,12,6.82218096237222e+48,0.29999839229174785,0.31237512556771385,0.046774916255349144,3.1830099221487244e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,13,3.777803434671439e+48,0.2990315063435287,0.3109297600642173,0.0467749162553501,1.77920575814477e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,14,9.130514131976049e+47,0.2983051184284066,0.3090679995247768,0.046774916255349144,4.328905628304571e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,15,9.139127403770538e+47,0.29866132216159846,0.3104520801298135,0.04677491625535017,4.3213901860141967e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,16,9.208204388312718e+46,0.2985149455260546,0.31030075546954006,0.04677491625534985,4.36228603546696e+63
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,17,2.443462633915517e+45,0.29851885731637395,0.31034582386813037,0.04677491625535045,1.1573879836223472e+62
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,0,5.805632206704855e+48,0.37318994017508084,0.3764722756622948,0.053955853864074456,1.9040048398090887e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,1,1.681257178577616e+48,0.3716860829803814,0.37066630060653327,0.0539558538640724,5.59330045699191e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,2,8.596625281811578e+47,0.3715231025767279,0.36967385940990627,0.053955853864072506,2.8647124026422497e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,3,4.37739286431328e+47,0.371512889175046,0.3694586736948877,0.0539558538640724,1.4589431197959155e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,4,4.345338857100042e+46,0.37144481907946614,0.3686362610574362,0.053955853864072784,1.4494327978020396e+63
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,5,1.1076187375978892e+45,0.371418662673952,0.3684127043504579,0.05395585386407238,3.695578149470337e+61
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,6,1.3940151288763852e+49,0.3513428392439355,0.3568415565483736,0.050595915477332415,5.168686708250731e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,7,1.3682003107908092e+49,0.3506290556426932,0.355210224628694,0.05059591547733336,5.107703745216973e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,8,6.361661242183512e+48,0.3502913257042436,0.3543434233070687,0.05059591547733186,2.382873221500116e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,9,2.997176420449186e+48,0.3501355253089349,0.35393243325324175,0.05059591547733186,1.1244600307971398e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,10,2.874023750363487e+47,0.34996667905151524,0.3534285918783545,0.05059591547733336,1.0802574508579707e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,11,7.284091111135441e+45,0.3499174941036595,0.3532510204502108,0.05059591547733214,2.7393192101356785e+62
