shape_lane,interval_index,substep,z_mid,macro_index,mass_relative_residual,ionization_absolute_residual,temperature_relative_residual,J_G1_relative_residual,J_G2a_relative_residual,kappa_G1_relative_residual,kappa_G2a_relative_residual,capacity_violation_max,capacity_slack_min,transfer_relative_residual,kkt_stationarity_max,kkt_complementarity_max,active_capacity_nodes
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,1,1.1220269810421801e-16,1.1102230246251565e-16,3.7439385672411724e-16,4.7548308951584686e-15,9.056652013954459e-16,2.168404344971009e-18,5.692061405548898e-19,2.028240960365167e+31,-2.028240960365167e+31,1.321269973253752e-16,8.881784197001252e-16,3.5786929330558665e-18,1390
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,2,1.164735803992517e-16,0.0,0.0,1.969061917612166e-15,6.181019717678514e-16,5.421010862427522e-19,9.486769009248164e-20,1.0141204801825835e+31,-1.0141204801825835e+31,0.0,8.881784197001252e-16,2.585349110461145e-18,1390
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,3,0.0,1.1102230246251565e-16,1.247979522413724e-16,5.421569257110653e-16,1.3596318499290296e-15,2.710505431213761e-19,0.0,5.070602400912918e+30,-5.070602400912918e+30,1.4052728049435099e-16,8.881784197001252e-16,2.6488926680008243e-18,1390
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,4,0.0,2.220446049250313e-16,0.0,8.412402526589644e-16,4.642851735383697e-16,3.049318610115481e-20,6.3527471044072525e-21,6.338253001141147e+29,-6.338253001141147e+29,1.676626409283367e-16,4.440892098500626e-16,3.1623885062148073e-18,1390
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,5,0.0,1.1102230246251565e-16,1.247979522413724e-16,2.0565864052079307e-15,1.7407790981320186e-15,4.764560328305439e-22,1.852884572118782e-22,9.903520314283042e+27,-9.903520314283042e+27,2.0559845600570934e-16,4.440892098500626e-16,2.979372936802957e-18,1390
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,6,1.4460029281966016e-16,1.1102230246251565e-16,1.247979522413724e-16,6.538855242669404e-16,2.4185922765580355e-15,2.6020852139652106e-18,6.938893903907228e-18,3.2451855365842673e+32,-3.2451855365842673e+32,0.0,4.440892098500626e-16,3.371795496628038e-18,1385
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,7,1.992397874162549e-16,1.1102230246251565e-16,1.247979522413724e-16,2.1638453877023116e-15,9.009580883312997e-16,5.204170427930421e-18,6.505213034913027e-19,1.6225927682921336e+32,-1.6225927682921336e+32,1.1730981208047353e-16,4.440892098500626e-16,3.498859591750598e-18,1386
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,8,0.0,1.1102230246251565e-16,1.247979522413724e-16,9.008598685923767e-16,2.5639668313915292e-15,3.0357660829594124e-18,1.0842021724855044e-18,8.112963841460668e+31,-8.112963841460668e+31,1.3116630636799803e-16,4.440892098500626e-16,2.607247195952114e-18,1386
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,9,0.0,0.0,0.0,2.4639847464688442e-15,1.831700122626681e-15,1.5178830414797062e-18,5.421010862427522e-20,2.028240960365167e+31,-2.028240960365167e+31,1.4043912686281496e-16,4.440892098500626e-16,2.4519050315363813e-18,1386
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,10,0.0,1.1102230246251565e-16,0.0,1.3476837107540607e-15,5.419913443718997e-16,1.8973538018496328e-19,6.098637220230962e-20,5.070602400912918e+30,-5.070602400912918e+30,0.0,4.440892098500626e-16,3.231176170218991e-18,1386
