interval_index,node_count,quantity,candidate_average,GL256_average,absolute_variation_average,dense_relative_residual,next_node_count,nested_relative_delta
0,65,thermal_collisional_ionization_cooling_erg_cm-3_s-1,4.120855959167145e-37,4.120855959167586e-37,4.120855959167586e-37,1.0701810049538729e-13,,
0,65,thermal_free_free_cooling_erg_cm-3_s-1,9.938197880669944e-34,9.938197880669946e-34,9.938197880669946e-34,1.7212068374952639e-16,,
0,65,thermal_cooling_total_erg_cm-3_s-1,2.191831103650857e-33,2.19183110365086e-33,2.19183110365086e-33,1.4047729046720707e-15,,
0,65,thermal_expansion_work_erg_cm-3_s-1,1.755210835359897e-32,1.755210835359897e-32,1.755210835359897e-32,0.0,,
0,65,thermal_thermal_rhs_erg_cm-3_s-1,-1.3033449251871677e-32,-1.303344925187098e-32,1.303344925187098e-32,5.3547783676610957e-14,,
1,9,redshift_threshold_loss_rate_s-1_cMpc-3,5.1923041822799104e+48,5.192298086232471e+48,5.192298086232471e+48,1.1740557530242542e-06,17.0,1.252686851432291e-06
1,9,absorption_G1_s-1_cMpc-3,3.387148340353037e+50,3.387185436232327e+50,3.387185436232327e+50,1.0951830063215622e-05,17.0,1.2992280447415184e-05
1,9,absorption_G2a_s-1_cMpc-3,1.4216854684491868e+50,1.4217149585070998e+50,1.4217149585070998e+50,2.0742595227377477e-05,17.0,2.4468486238846303e-05
1,9,absorption_G2b_s-1_cMpc-3,4.6556829662663934e+48,4.655653657805566e+48,4.655653657805566e+48,6.295240793564919e-06,17.0,8.172476990196765e-06
1,9,absorption_G3_s-1_cMpc-3,0.0,0.0,0.0,0.0,17.0,0.0
1,9,thermal_photoheat_erg_cm-3_s-1,7.636462569935187e-33,7.636425668202805e-33,7.636425668202805e-33,4.8323304625640215e-06,17.0,7.19741762405425e-06
1,9,thermal_photoheat_H_erg_cm-3_s-1,6.271940950714974e-33,6.271923031566215e-33,6.271923031566215e-33,2.8570421971426158e-06,17.0,5.181651580526138e-06
1,9,thermal_photoheat_HeI_erg_cm-3_s-1,1.3645216192202134e-33,1.3645026366365894e-33,1.3645026366365894e-33,1.3911723667162007e-05,17.0,1.6462868638488733e-05
1,9,thermal_photoheat_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0,17.0,0.0
1,9,thermal_threshold_H_erg_cm-3_s-1,1.4597257636573182e-32,1.4597201951903702e-32,1.4597201951903702e-32,3.814749543370599e-06,17.0,6.519856462459436e-06
1,9,thermal_threshold_HeI_erg_cm-3_s-1,3.5390278242430565e-33,3.5389719550912065e-33,3.5389719550912065e-33,1.5786830909915038e-05,17.0,1.8624826512513507e-05
1,9,thermal_threshold_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0,17.0,0.0
1,9,thermal_recombination_cooling_erg_cm-3_s-1,1.074454211087422e-33,1.07445421166121e-33,1.07445421166121e-33,5.340275047494225e-10,17.0,8.995342142195402e-10
1,9,thermal_excitation_cooling_erg_cm-3_s-1,4.300802340948871e-35,4.300793995267381e-35,4.300793995267381e-35,1.9404978474523717e-06,17.0,4.072815989078941e-06
1,9,thermal_collisional_ionization_cooling_erg_cm-3_s-1,7.285578355882045e-37,7.285562971753423e-37,7.285562971753423e-37,2.1115909205119246e-06,17.0,4.3277624775123936e-06
1,9,thermal_free_free_cooling_erg_cm-3_s-1,9.226887899594319e-34,9.226887905018574e-34,9.226887905018574e-34,5.878748080808205e-10,17.0,1.0400833320328581e-09
