shape_lane,interval_index,substep,macro_index,z_mid,dt_Myr,lp_pass,selected_model,one_mode_status,two_mode_status,refinement_status,farkas_h_dot_y
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,8,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-6.79418622729117787e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,9,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-3.06281146953835083e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,10,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-3.04051457780130650e-04
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,11,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-7.59288349465099672e-06
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,12,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-5.23636674963543422e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,13,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-7.99737476844048119e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,14,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-1.47000550277862491e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,15,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-2.38537446022208527e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,16,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-2.42678882285412613e-04
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,17,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-6.73832083780036527e-06
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,0,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-1.06914782242923286e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,1,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-3.80232321870172018e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,2,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-2.04811484124596500e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,3,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-1.07158324182308529e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,4,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-1.08910430301850926e-04
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,5,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-2.78394582429338123e-06
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,6,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-1.71459900101346568e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,7,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-6.95447955647328798e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,8,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-1.25586443754056084e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,9,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-7.17125572467545731e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,10,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-8.27399073481791328e-04
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,11,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-2.13913162210277792e-05
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,12,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-2.10192053639502337e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,13,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-1.44733572897404617e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,14,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-4.62702822375305432e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,15,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-4.56316102234227607e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,16,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-5.00903344961020169e-04
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,17,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-1.34483279170135119e-05
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,0,5.54999999999999982e+00,1.17262920899423353e+01,False,NONE,,,NOT_RUN,-1.60278387060779383e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,1,5.54999999999999982e+00,1.17262920899423353e+01,False,NONE,,,NOT_RUN,-9.19305294286063696e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,2,5.54999999999999982e+00,1.17262920899423353e+01,False,NONE,,,NOT_RUN,-3.23431925208989904e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,3,5.54999999999999982e+00,1.17262920899423353e+01,False,NONE,,,NOT_RUN,-1.55267201069287687e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,4,5.54999999999999982e+00,1.17262920899423353e+01,False,NONE,,,NOT_RUN,-1.56387135420998045e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,5,5.54999999999999982e+00,1.17262920899423353e+01,False,NONE,,,NOT_RUN,-3.69660126078823876e-05
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,6,5.54999999999999982e+00,1.17262920899423353e+01,False,NONE,,,NOT_RUN,-3.01105609538856900e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,7,5.54999999999999982e+00,1.17262920899423353e+01,False,NONE,,,NOT_RUN,-3.78804538417438108e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,8,5.54999999999999982e+00,1.17262920899423353e+01,False,NONE,,,NOT_RUN,-1.23032075529078688e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,9,5.54999999999999982e+00,1.17262920899423353e+01,False,NONE,,,NOT_RUN,-6.79611704911096681e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,10,5.54999999999999982e+00,1.17262920899423353e+01,False,NONE,,,NOT_RUN,-6.49910562449600507e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,11,5.54999999999999982e+00,1.17262920899423353e+01,False,NONE,,,NOT_RUN,-1.47014952560937544e-04
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,12,5.54999999999999982e+00,1.17262920899423353e+01,False,NONE,,,NOT_RUN,-2.63364634208858653e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,13,5.54999999999999982e+00,1.17262920899423353e+01,False,NONE,,,NOT_RUN,-5.73049033376029082e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,14,5.54999999999999982e+00,1.17262920899423353e+01,False,NONE,,,NOT_RUN,-2.88523138564376934e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,15,5.54999999999999982e+00,1.17262920899423353e+01,False,NONE,,,NOT_RUN,-1.11740642450883654e-02
