shape_lane,interval_index,substep,z_mid,macro_index,tau_Myr,equilibrium_pass,violated_constraints,temperature_min_K,temperature_max_K,minimum_row_capacity_slack,normalized_mass_min,normalized_ionized_H_min,normalized_neutral_H_min,normalized_thermal_min,normalized_capacity_min,normalized_current_min,normalized_mass_cap_slack,normalized_volume_cap_slack,normalized_cycling_slack_min
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,9,300.0,True,,3513.706687444056,75837.31542742687,-1.8862640931396053e+33,1.2862440565151928e-211,1.2855757246212789e-211,6.683318939140459e-215,3.5142917737482056e-208,6.551517713150637e-210,1.7162011573162804e-211,0.024636188771670658,0.9990489094245053,-2.374295778169076e-16
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,10,300.0,True,,3514.981071740955,75837.31542742685,-1.4958277082693107e+32,1.226265982476821e-211,1.2256288151660243e-211,6.371673107968568e-215,3.5142917737482043e-208,6.55151771315064e-210,1.7160226227163452e-211,0.024680538505039887,0.9990932591578745,-1.9683754988236016e-16
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,11,300.0,True,,3871.881973379559,75837.31542742657,-2.772985687999252e+30,1.2054092320493347e-211,1.2047829018976609e-211,6.263301516738282e-215,3.514291773748195e-208,6.551517713153261e-210,1.715954175664136e-211,0.024695960662807343,0.999108681315642,-1.4301664861201279e-16
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,12,300.0,True,,3228.6797547716947,84669.7497632734,-1.5739149852433696e+34,5.2946968859428705e-210,5.2919457635723794e-210,2.751122370490866e-213,3.5142917737481974e-208,4.6187238260393587e-210,1.4729426954284913e-211,0.02544037591415929,0.9608492938582399,-2.58622701368714e-16
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,13,300.0,True,,3511.7212848562676,79975.51813169211,-5.192296858534828e+33,7.802638948226974e-211,7.798584700170561e-211,4.054248056413225e-214,3.5142917737481965e-208,4.618723826039346e-210,1.4757694049594205e-211,0.05882155773426623,0.9942304756783469,-3.022385744744968e-16
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,14,300.0,True,,3512.0800041895363,79975.51813169186,-1.2372269858227519e+33,5.252183674360444e-211,5.249454641837619e-211,2.7290325228254594e-214,3.5142917737482134e-208,4.618723826039364e-210,1.4744621657006608e-211,0.06070744708932931,0.9961163650334098,-1.8997253974880536e-16
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,15,300.0,True,,3511.7212848562476,79975.51813169182,-8.924260225606735e+32,6.332943960145178e-211,6.329653365012912e-211,3.2905951322661366e-214,3.514291773748202e-208,4.6187238260393587e-210,1.4751407634954974e-211,0.059908297878903664,0.9953172158229843,-2.2834871505708773e-16
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,16,300.0,True,,3511.721284856268,79975.51813169231,-9.50737950171172e+31,6.321001959623299e-211,6.3177175695496966e-211,3.2843900736027673e-214,3.5142917737481676e-208,4.6187238260393695e-210,1.4750470457855834e-211,0.059917128181435575,0.9953260461255161,-2.4291942831653396e-16
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,17,300.0,True,,3511.72128485627,79975.51813169211,-2.337230794170798e+30,6.5085298265024135e-211,6.505147997024693e-211,3.3818294777203988e-214,3.5142917737481965e-208,4.618723826039353e-210,1.475167169154574e-211,0.05977846399408491,0.9951873819381655,-2.2344388317068405e-16
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,0,10.0,True,,3511.6019382909867,79972.80014737004,-6.490371073168535e+32,9.331689259663629e-211,9.326842431574421e-211,4.8468280892075325e-214,3.5142917737482004e-208,7.5244297661372e-210,1.941379542285719e-211,0.007307423881319963,0.993099846282395,-1.3473637705573502e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,1,10.0,True,,3871.751116217012,70810.35746333707,-6.084722881095501e+31,4.432857381431246e-212,4.4305549795683535e-212,2.3024018628925783e-215,3.514291773748203e-208,7.524429850574936e-210,1.932317252293348e-211,0.01387979774589987,0.9996722201469749,-1.3881553348404907e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,2,10.0,True,,3872.025357528932,70810.3575573916,-1.5211807202738753e+31,3.6446278818721854e-212,3.6427348820828124e-212,1.8929997893732086e-215,3.5142917737482013e-208,7.524429863705041e-210,1.931156592952125e-211,0.01393808199176753,0.9997305043928425,-7.494766418775655e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,3,10.0,True,,3872.025360772016,70810.35761670012,-7.605903601369376e+30,3.5790280570584144e-212,3.577169129450261e-212,1.8589276081537226e-215,3.514291773748204e-208,7.524429871984224e-210,1.931279669719705e-211,0.01394293265559127,0.9997353550566661,-7.667730467978673e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,4,10.0,True,,3872.025365400766,70810.35770134917,-9.50737950171172e+29,3.830755113360182e-212,3.8287654400812613e-212,1.9896732789208827e-215,3.5142917737482047e-208,7.524429883801339e-210,1.9321560438442805e-211,0.01392431914055633,0.9997167415416311,-8.925096461589122e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,5,10.0,True,,3872.0253661883435,70810.35771575215,-1.4855280471424563e+28,3.7522228384199135e-212,3.7502739543732874e-212,1.9488840466262111e-215,3.5142917737482017e-208,7.524429885812008e-210,1.9321003843146616e-211,0.013930126071689614,0.9997225484727645,-5.485183191398855e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,6,10.0,True,,3511.9606508301854,79972.80027026977,-4.867778304876401e+32,4.9205563137997504e-211,4.918000603884363e-211,2.5557099153879107e-214,3.514291773748202e-208,6.547737968723378e-210,1.8115593577516367e-211,0.021949672462356667,0.9963615810603432,-8.598470524603682e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,7,10.0,True,,3512.6152450487452,75834.73850952738,-3.2451855365842673e+32,1.788123787243752e-211,1.7871950455506179e-211,9.28741693133937e-215,3.514291773748203e-208,6.547738022086893e-210,1.808110041171732e-211,0.024265894674844024,0.9986778032728307,-8.234779749337228e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,8,10.0,True,,3513.587298283251,75834.73861773497,-1.6225927682921336e+32,1.3927762913295665e-211,1.3920528909526516e-211,7.234003769148881e-215,3.514291773748204e-208,6.547738040583006e-210,1.8068100091749486e-211,0.024558227436659166,0.9989701360346459,-9.386153856652934e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,9,10.0,True,,3513.5873018440316,75834.73869458832,-8.112963841460668e+31,1.2918720871358473e-211,1.2912010958459562e-211,6.709912898912205e-215,3.5142917737482047e-208,6.54773805371857e-210,1.8064177136009798e-211,0.024632839278129166,0.999044747876116,-1.0166469576804084e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,10,10.0,True,,3514.8616478250415,75834.73880212028,-5.070602400912918e+30,1.2316482330423538e-211,1.231008521687335e-211,6.397113550187411e-215,3.514291773748204e-208,6.54773807209753e-210,1.80623312377763e-211,0.02467737074924317,0.9990892793472298,-6.642604013915018e-18
