shape_lane,interval_index,substep,z_mid,macro_index,tau_Myr,constraint,normalized_mass_min,normalized_ionized_H_min,normalized_neutral_H_min,normalized_thermal_min,normalized_capacity_min,normalized_current_min,normalized_mass_cap_slack,normalized_volume_cap_slack,normalized_cycling_slack_min,clipping_used
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,17,300.0,NEGATIVE_PHOTON_CURRENT,1.1974929038826367e-209,1.1965829984391971e-209,9.09905443439562e-213,3.5225119869529765e-208,6.782542418433541e-210,-0.055650344068835886,-0.005318819677225069,0.9114534905459402,-5.090481539431961e-17,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,17,300.0,MACRO_MASS_CAP_EXCEEDED,1.1974929038826367e-209,1.1965829984391971e-209,9.09905443439562e-213,3.5225119869529765e-208,6.782542418433541e-210,-0.055650344068835886,-0.005318819677225069,0.9114534905459402,-5.090481539431961e-17,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,0,10.0,CYCLING_CAPACITY_DEFICIT,1.0470009620195871e-210,1.046324956015771e-210,6.760060038161172e-214,3.517092888521694e-208,7.868635968248977e-210,1.8311525619644295e-211,0.010099071525047014,0.992258135285705,-0.0004979887343903936,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,1,10.0,CYCLING_CAPACITY_DEFICIT,8.241345317994133e-212,8.236023688718909e-212,5.321629275224132e-215,3.5170928885216926e-208,7.868782681674982e-210,1.8209732816300084e-211,0.017231544435225402,0.9993906081958834,-0.000475452235151452,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,2,10.0,CYCLING_CAPACITY_DEFICIT,7.046933194620971e-212,7.042382758352199e-212,4.5504362687710473e-215,3.5170928885216934e-208,7.868804424083993e-210,1.819764022042024e-211,0.017319863141775894,0.9994789269024339,-0.00047304509933162995,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,3,10.0,CYCLING_CAPACITY_DEFICIT,6.908904124791735e-212,6.904442771599004e-212,4.461353192731349e-215,3.5170928885216904e-208,7.868819967088873e-210,1.8197719258526932e-211,0.017330069458904744,0.9994891332195627,-0.0004734358499711977,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,4,10.0,CYCLING_CAPACITY_DEFICIT,7.212469668962119e-212,7.207812207235066e-212,4.657461727053175e-215,3.51709288852169e-208,7.868846747933148e-210,1.8205090162203549e-211,0.017307622837935497,0.9994666865985934,-0.00047587291546714275,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,5,10.0,CYCLING_CAPACITY_DEFICIT,7.081054992515673e-212,7.076482381236343e-212,4.5726112793301053e-215,3.5170928885216913e-208,7.868850229731595e-210,1.8204130948576309e-211,0.017317340065363434,0.9994764038260214,-0.0004757280352371801,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,6,10.0,CYCLING_CAPACITY_DEFICIT,8.805548110397588e-211,8.799862681329968e-211,5.685429067619569e-214,3.517092888521691e-208,6.992106860290796e-210,1.7338792297800439e-211,0.02585191921657428,0.9934888921138699,-9.576858722845366e-06,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,7,10.0,CYCLING_CAPACITY_DEFICIT,3.3338079213290373e-211,3.3316552938053996e-211,2.152627523637674e-214,3.517092888521692e-208,6.992206440476169e-210,1.729892142415341e-211,0.029897901391588513,0.9975348742888842,-1.9468636451264992e-05,False
