shape_lane,interval_index,substep,substeps_per_interval,z_mid,tau_Myr,relaxation_lambda,absolute_state_feasible,shape_only_feasible,absolute_mass_min_cMpc3,absolute_mass_cap_slack_min_cMpc3,absolute_volume_cap_slack_min_cMpc3,absolute_opacity_min_cMpc_inv,absolute_cycling_slack_min_s_inv_cMpc3,shape_mass_simplex_residual,shape_mass_min,shape_mass_upper_slack_min,shape_opacity_simplex_residual_max,shape_opacity_min,shape_cycling_slack_min,blocking_for_R2B_core_gate,definition
RECOMBINATION_WEIGHTED_AUDITOR,2,1,2,5.75,100.0,0.10309414093816975,False,False,1.1446021173530109e+62,-6.610959492419397e+65,2.1571940230408788e+63,1.6101906751230891e-06,-1.919395087069392e+49,0.0,-0.4025345642453798,0.00012065533410820405,0.0,-0.47362439198616263,-0.08287375794023988,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
RECOMBINATION_WEIGHTED_AUDITOR,2,1,2,5.75,300.0,0.035618315480829735,False,False,3.15809266040417e+62,-3.120719794475029e+66,1.5409551054259964e+63,4.514064255355231e-06,-6.924309780160703e+49,4.440892098500626e-16,-1.4084960184932793,-0.13915719124958636,2.220446049250313e-16,-1.6396467370650527,-0.29245297015605054,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
RECOMBINATION_WEIGHTED_AUDITOR,2,2,2,5.75,10.0,0.6631251333278736,True,True,1.7483545419145184e+61,2.329947433015585e+62,2.4510816056362655e+63,2.5202966402773605e-07,6.314189334189821e+44,2.220446049250313e-16,1.578434931610447e-05,0.0002034241343483569,1.1102230246251565e-16,8.971940163217971e-06,2.7309518011901053e-06,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
RECOMBINATION_WEIGHTED_AUDITOR,2,2,2,5.75,100.0,0.10309414093816975,False,True,8.528976114058023e+60,2.5856042832342953e+62,2.4766472906581364e+63,3.4259209414499915e-07,-2.5574518366774575e+49,6.661338147750939e-16,1.460965180727687e-05,0.00020345580759429088,6.661338147750939e-16,8.971940163217971e-06,1.3475908645316008e-06,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
RECOMBINATION_WEIGHTED_AUDITOR,2,2,2,5.75,300.0,0.035618315480829735,False,False,-1.0686100402059358e+65,2.858523289418056e+62,2.533994949195851e+63,5.457371815646188e-07,-1.0526624566709574e+50,1.9984014443252818e-15,1.1974629449623684e-05,0.00020352685542622054,1.7763568394002505e-15,8.971940163217971e-06,-0.0003696092205849825,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
RECOMBINATION_WEIGHTED_AUDITOR,3,1,2,5.65,10.0,0.6767183149208609,True,True,3.665167832527985e+60,2.679684368027508e+62,3.23437932532181e+63,3.898491125143413e-08,5.0931870217953846e+44,2.220446049250313e-16,1.5137954904794984e-05,0.0004871693444739815,0.0,8.426823441821323e-06,2.079361806561673e-06,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
RECOMBINATION_WEIGHTED_AUDITOR,3,1,2,5.65,100.0,0.10678067591089353,False,False,-1.2656656253238805e+66,3.4468742465517882e+62,3.463256628611488e+63,-0.06437069464625704,3.692999625075307e+45,0.0,-0.0542747535895762,0.00044499958351792464,3.3306690738754696e-16,-0.12370883880578382,-0.01802924044882727,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
RECOMBINATION_WEIGHTED_AUDITOR,3,1,2,5.65,300.0,0.0369414231098882,False,False,-4.191051766223496e+66,5.169018070365879e+62,3.9770272678041275e+63,-0.2112660509542345,1.083954390548995e+46,4.440892098500626e-16,-0.6250644302415662,-0.4438647610865864,3.3306690738754696e-16,-0.8668253312668313,-0.11264766059615472,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
RECOMBINATION_WEIGHTED_AUDITOR,3,2,2,5.65,10.0,0.6767183149208609,True,True,1.0110290329133738e+61,2.5875647183046928e+62,3.2132631886407427e+63,1.2539976721469998e-07,4.166138214295769e+44,1.1102230246251565e-16,1.5410719318494644e-05,0.0004216868448874882,2.220446049250313e-16,8.603049694079247e-06,2.0436366026214314e-06,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
RECOMBINATION_WEIGHTED_AUDITOR,3,2,2,5.65,100.0,0.10678067591089353,True,True,1.9709033351968948e+61,2.2238602407387008e+62,3.1768927408841433e+63,2.287169222539828e-07,9.759636351355167e+44,1.4432899320127035e-15,1.5625533806756725e-05,0.0004217551377141891,8.881784197001252e-16,8.603049694079247e-06,2.2867565706628436e-06,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
RECOMBINATION_WEIGHTED_AUDITOR,3,2,2,5.65,300.0,0.0369414231098882,False,True,4.1255740987047704e+61,-2.1692217243632796e+65,3.0952504464187087e+63,4.6063734433670547e-07,2.2315600057213114e+45,4.440892098500626e-15,1.610773704559236e-05,0.00042190843753344635,2.3314683517128287e-15,8.603049694079247e-06,2.832498326554825e-06,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
RECOMBINATION_WEIGHTED_AUDITOR,4,1,2,5.55,10.0,0.6904480064845657,True,True,9.308469959433533e+60,2.56292984945177e+62,3.888254943955579e+63,5.996943453713801e-08,5.7044133506794995e+44,1.1102230246251565e-16,1.289440935120964e-05,0.00037621567479248844,2.220446049250313e-16,7.017456971002231e-06,6.193278298399706e-07,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
RECOMBINATION_WEIGHTED_AUDITOR,4,1,2,5.55,100.0,0.11064866663102796,False,False,8.153366717410221e+60,-2.493298825740234e+65,3.835397621939572e+63,-0.008037376342823786,7.949361289135702e+45,5.551115123125783e-16,-0.09089850445297185,-0.2356861173433737,2.4424906541753444e-15,-0.17098867512737806,-0.006993374820230408,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
