shape_lane,interval_index,substep,macro_index,endpoint_previous_C,endpoint_previous_I,endpoint_previous_J_G1,endpoint_previous_J_G2a,endpoint_previous_M,endpoint_previous_U,endpoint_target_C,endpoint_target_I,endpoint_target_J_G1,endpoint_target_J_G2a,endpoint_target_M,endpoint_target_U,M_sink_H_cap_cosmic_cMpc3,M_sink_H_cap_volume_cMpc3,prev_cap_cosmic,prev_cap_volume,neutral_previous,neutral_target,previous_state_cone_pass,target_state_cone_pass,previous_mass_caps_pass,target_mass_caps_pass,J_endpoint_nonnegative_pass,convex_state_segment_pass,minimum_endpoint_neutral_slack,minimum_endpoint_cosmic_cap_slack,minimum_endpoint_volume_cap_slack
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,2,1.9945790308062927e+48,3.988681783656756e+63,1.686278928067313e+48,2.026739504308068e+47,4.019041253398051e+63,1.2109001259131374e+52,2.016903350235608e+48,4.033005038852752e+63,1.7045763689485462e+48,2.0475534400546665e+47,4.063668716412546e+63,1.2241174260325361e+52,2.155772488130218e+65,1.5173399357630943e+67,2.155772488130218e+65,1.5173880910684788e+67,3.035946974129478e+61,3.066367755979382e+61,True,True,True,True,True,True,3.035946974129478e+61,2.1151358009660926e+65,1.516933568891453e+67
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,3,9.747854717820239e+47,1.949338178241291e+63,8.323289488555663e+47,9.083518472928472e+46,1.964175379263532e+63,5.917879574027192e+51,9.857007979368752e+47,1.9710098078900066e+63,8.413603667793358e+47,9.176803164644745e+46,1.9859957572340032e+63,5.982505425794212e+51,1.0728828021765943e+65,7.551482965384374e+66,1.0728828021765943e+65,7.551722624250346e+66,1.48372010222408e+61,1.4985949343996555e+61,True,True,True,True,True,True,1.48372010222408e+61,1.0530228446042542e+65,7.54949696962714e+66
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,4,1.0468104006684378e+47,2.093370837454739e+62,9.064197770518976e+46,8.495508904457505e+45,2.10930432928089e+62,6.35513973825436e+50,1.0585399677040252e+47,2.1166591959295727e+62,9.16255138217914e+46,8.582754934890236e+45,2.1327525443044663e+62,6.4245875761327234e+50,1.0764576037551994e+64,7.576644197506554e+65,1.0764576037551994e+64,7.5768846549060595e+65,1.5933491826151242e+60,1.609334837489362e+60,True,True,True,True,True,True,1.5933491826151242e+60,1.0551300783121547e+64,7.574511444962249e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5,2.6613929038356318e+45,5.322150303761757e+60,2.3099132289977485e+45,2.105413174849612e+44,5.362659341551567e+60,1.6157198850406816e+49,2.6912172986549044e+45,5.381364915108614e+60,2.3349775881881903e+45,2.1270350628368023e+44,5.422280420296136e+60,1.633378214250494e+49,2.794052134789696e+62,1.9665929081401505e+64,2.794052134789696e+62,1.96665532123548e+64,4.050903778981019e+58,4.091550518752224e+58,True,True,True,True,True,True,4.050903778981019e+58,2.7398293305867345e+62,1.9660506800981208e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,6,5.563814462480155e+49,1.11263003628237e+65,4.2373301066970844e+49,1.0318435795834128e+49,1.1210987133420882e+65,3.3777672025615774e+53,5.625801080432573e+49,1.1249366065219428e+65,4.283308441497481e+49,1.0424402674756332e+49,1.1334897060210223e+65,3.4144626400395957e+53,8.021334743528933e+65,3.1347921255658004e+67,8.021334743528933e+65,3.134891613405384e+67,8.468677059718334e+62,8.553099499079482e+62,True,True,True,True,True,True,8.468677059718334e+62,6.887845037507911e+65,3.12345722850559e+67
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,7,3.872875595330177e+49,7.744826401397439e+64,3.1099497303323204e+49,5.578314860914593e+48,7.803775406491857e+64,2.3512056797947327e+53,3.91612188717722e+49,7.830687227477861e+64,3.143695109217864e+49,5.635602285787192e+48,7.890225379774163e+64,2.376808508945688e+53,1.5365306480192269e+66,6.004866185128327e+67,1.5365306480192269e+66,6.005056759539585e+67,5.894900509441828e+62,5.953815229630177e+62,True,True,True,True,True,True,5.894900509441828e+62,1.4576283942214854e+66,5.996975959748552e+67
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,8,1.6988770911665434e+49,3.397348513921012e+64,1.388601224703542e+49,2.203090877027314e+48,3.4232071070611386e+64,1.0313807835295035e+53,1.717862497697979e+49,3.4350421939964564e+64,1.4036686304533968e+49,2.2257158822936114e+48,3.4611594502920136e+64,1.0426208170630603e+53,8.653499364327135e+65,3.381846355154984e+67,8.653499364327135e+65,3.381953683671262e+67,2.5858593140126596e+62,2.6117256295557172e+62,True,True,True,True,True,True,2.5858593140126596e+62,8.307383419297934e+65,3.3783851957046923e+67
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,9,7.842332836496336e+48,1.5682793032102228e+64,6.490006856721127e+48,9.370225850011002e+47,1.5802161110665916e+64,4.761045650483625e+52,7.93002209345947e+48,1.5856892229069714e+64,6.560428490297329e+48,9.46645493044221e+47,1.5977455091185782e+64,4.812961529511454e+52,4.30666533586075e+65,1.6830740785621438e+67,4.30666533586075e+65,1.683127493716077e+67,1.193680785636884e+62,1.2056286211606846e+62,True,True,True,True,True,True,1.193680785636884e+62,4.146890784948892e+65,1.681476333053025e+67
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,10,7.501553588534571e+47,1.500131590956181e+63,6.315017907546381e+47,7.892788013898085e+46,1.5115496990214072e+63,4.554160073180292e+51,7.585498111857253e+47,1.5167981204332195e+63,6.3835407746142176e+47,7.973844302697684e+46,1.5283306149479045e+63,4.6038598839040335e+51,4.3210149684673677e+64,1.6886820124956184e+66,4.3210149684673677e+64,1.6887356056266576e+66,1.1418108065226273e+61,1.1532494514685089e+61,True,True,True,True,True,True,1.1418108065226273e+61,4.168181906972577e+64,1.6871536818806706e+66
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,11,1.913985415945832e+46,3.8275137985792124e+61,1.6176659912193336e+46,1.949612373908015e+45,3.8566465536233664e+61,1.1619720980561133e+50,1.9354073990370504e+46,3.870045528774351e+61,1.6352189282496527e+46,1.9696342398631836e+45,3.8994701952681515e+61,1.174655158045526e+50,1.121562154885324e+63,4.383141115390409e+64,1.121562154885324e+63,4.383280221660519e+64,2.913275504415395e+59,2.9424666493800685e+59,True,True,True,True,True,True,2.913275504415395e+59,1.0825674529326424e+63,4.379241645195141e+64
